document_id,display_title,label
4,A systematic literature review on the impact of artificial intelligence on workplace outcomes: A multi-process perspective,research_paper
5,"""The rise of artificial intelligence"" – understanding the AI identity threat at the workplace",research_paper
6,Global impact of AI,research_paper
7,CHD_SOM_Technical_Note_Flood_Risk,technical_report
8,Guidance Note: Data Incident Management,policy_document
9,510 Philippines Typhoon Model Report,technical_report
10,Model Report BFA AA,technical_report
11,Broadcast Technicians,general_document
12,Assessing The Technical Feasibility of Conflict Prediction for Anticipatory Action,technical_report
13,Guidance Note on The Implications of Cyber Threats for Humanitarians,policy_document
14,Global Health Contact List for the Africa Region - 3/21/05,general_document
15,Innovating Anticipatory Action,general_document
16,competitive telecommunications service providers,general_document
17,political action committee,general_document
18,Buchanan Announces Office Hours In Wauchula,general_document
19,untitled,technical_report
20,"Fiscal Year 2010 Commerce, Justice, Science, and Related Agencies Appropriations Act",policy_document
21,Microsoft Word - SkillsUSA_Idaho_National_Winners_Gallery,general_document
22,Joutnal of the,research_paper
23,Untitled Document,general_document
24,Untitled Document,general_document
25,United States Court of Appeals for the Federal Circuit,policy_document
26,Consistency Amplifies: How Behavioral Variance Shapes Agent Accuracy,research_paper
27,Unlocking Strong Supervision: A Data-Centric Study of General-Purpose Audio Pre-Training Methods,research_paper
28,UCAgent: An End-to-End Agent for Block-Level Functional Verification,research_paper
29,ReCUBE: Evaluating Repository-Level Context Utilization in Code Generation,research_paper
30,When Chain-of-Thought Backfires: Evaluating Prompt Sensitivity in Medical Language Models,research_paper
31,SWE-PRBench: Benchmarking AI Code Review Quality Against Pull Request Feedback,research_paper
32,Automating Domain-Driven Design: Experience with a Prompting Framework,research_paper
33,Developers and Generative AI: A Study of Self-Admitted Usage in Open Source Projects,research_paper
34,Can AI Models Direct Each Other? Organizational Structure as a Probe into Training Limitations,research_paper
35,Foundation Model for Cardiac Time Series via Masked Latent Attention,research_paper
36,Board Beat Fall 2011.pub,general_document
37,Constituent Services,general_document
38,Untitled Document,general_document
39,Untitled Document,technical_report
40,upper clark fork river tributaries sediment metals and temperature tmdls and framework for water quality restoration appendix g,technical_report
41,levy01.PDF,general_document
42,The Virginia Administrative Code 22VAC40-705-10 defines family assessment and investigation as follows:,policy_document
43,Untitled Document,general_document
44,30% median farm size 2004.PDF,general_document
45,Untitled Document,general_document
46,Federal Continuity Directive 2: Federal Executive Branch Mission Essential Functions and Candidate Primary Mission Essential Functions Identification and Submission Process,policy_document
47,"National Prevention Framework, Second Edition",policy_document
48,FP 104-009-19 PA Eligibility Policy for COVID_FINAL.9.1.20.signed.pdf,policy_document
49,Tribal Mitigation Plan Review Guide,policy_document
50,FEMA Policy: Mission Assignments,policy_document
51,FEMA Policy: Equal Employment Opportunity FEMA Policy 401-123-1,policy_document
52,Mass Care/Emergency Assistance Pandemic Planning Considerations,policy_document
53,Criteria for Preparation and Evaluation of Radiological EMERGENCY RESPONSE PLANS AND PREPAREDNESS in Support of Nuclear Power Plants,policy_document
54,IB 421b: Clarification on the Personnel Reimbursement for Intelligence Cooperation and Enhancement of Homeland Security Act of 2008 (Public Law 110-412 - The PRICE Act),policy_document
55,Grant Programs Directorate Information Bulletin No. 441,policy_document
56,Project Appraisal Document (PAD) – MPA Operation,technical_report
57,Implementation Completion and Results Report - Strengthening Public Financial Management in Rajasthan - P156869,technical_report
58,Untitled Document,technical_report
59,World Bank Document,technical_report
60,World Bank Document,technical_report
61,World Development Report 2025: Standards for Development,technical_report
62,Untitled Document,policy_document
63,Untitled Document,general_document
64,World Bank Document,technical_report
65,World Bank Document,technical_report
